"Station","Period","Date","SpeciesCode","Replicates","DensityMean","DensitySE"
1,1,"08/27/80",0024,5,0.260,0.0579
1,1,"08/27/80",0029,5,0.190,0.1198
1,1,"08/27/80",0030,5,3.640,1.0778
1,1,"08/27/80",0066,5,0.250,0.1012
1,1,"08/27/80",0067,5,0.030,0.0122
1,1,"08/27/80",0075,5,0.000,0.0000
1,1,"08/27/80",0081,5,0.010,0.0100
1,1,"08/27/80",0082,5,0.000,0.0000
1,1,"08/27/80",0085,5,0.000,0.0000
1,1,"08/27/80",0089,5,0.420,0.0604
1,1,"08/27/80",0092,5,0.220,0.0624
1,1,"08/27/80",0152,5,0.000,0.0000
1,1,"08/27/80",0553,5,0.480,0.0583
1,1,"08/27/80",0556,5,0.760,0.3031
1,1,"08/27/80",0557,5,0.010,0.0100
1,1,"08/27/80",0558,5,0.020,0.0200
1,1,"08/27/80",0574,5,0.010,0.0100
1,1,"08/27/80",0575,5,0.240,0.0900
1,1,"08/27/80",0589,5,0.170,0.0374
1,2,"04/25/81",0024,5,0.020,0.0122
1,2,"04/25/81",0029,5,0.390,0.2390
1,2,"04/25/81",0030,5,3.530,1.2626
1,2,"04/25/81",0066,5,0.420,0.1179
1,2,"04/25/81",0067,5,0.000,0.0000
1,2,"04/25/81",0075,5,0.000,0.0000
1,2,"04/25/81",0081,5,0.000,0.0000
1,2,"04/25/81",0082,5,0.000,0.0000
1,2,"04/25/81",0085,5,0.000,0.0000
1,2,"04/25/81",0089,5,0.590,0.0843
1,2,"04/25/81",0092,5,0.070,0.0255
1,2,"04/25/81",0152,5,0.000,0.0000
1,2,"04/25/81",0553,5,2.110,0.6913
1,2,"04/25/81",0556,5,0.890,0.2939
1,2,"04/25/81",0557,5,1.280,0.6439
1,2,"04/25/81",0558,5,3.580,1.4605
1,2,"04/25/81",0574,5,0.020,0.0200
1,2,"04/25/81",0575,5,0.310,0.2130
1,2,"04/25/81",0589,5,0.110,0.0292
1,3,"10/24/81",0024,5,0.010,0.0100
1,3,"10/24/81",0029,5,0.150,0.0949
1,3,"10/24/81",0030,5,1.840,1.0079
1,3,"10/24/81",0066,5,0.150,0.0707
1,3,"10/24/81",0067,5,0.000,0.0000
1,3,"10/24/81",0075,5,0.000,0.0000
1,3,"10/24/81",0081,5,0.000,0.0000
1,3,"10/24/81",0082,5,0.000,0.0000
1,3,"10/24/81",0085,5,0.010,0.0100
1,3,"10/24/81",0089,5,0.450,0.0851
1,3,"10/24/81",0092,5,0.060,0.0187
1,3,"10/24/81",0152,5,0.000,0.0000
1,3,"10/24/81",0553,5,2.090,0.6390
1,3,"10/24/81",0556,5,1.220,0.3989
1,3,"10/24/81",0557,5,0.830,0.2359
1,3,"10/24/81",0558,5,0.910,0.0967
1,3,"10/24/81",0574,5,0.030,0.0300
1,3,"10/24/81",0575,5,0.280,0.0903
1,3,"10/24/81",0589,5,0.740,0.2135
1,4,"04/29/82",0024,5,0.020,0.0122
1,4,"04/29/82",0029,5,0.290,0.2431
1,4,"04/29/82",0030,5,3.370,1.2745
1,4,"04/29/82",0066,5,0.330,0.1251
1,4,"04/29/82",0067,5,0.000,0.0000
1,4,"04/29/82",0075,5,0.000,0.0000
1,4,"04/29/82",0081,5,0.000,0.0000
1,4,"04/29/82",0082,5,0.000,0.0000
1,4,"04/29/82",0085,5,0.020,0.0200
1,4,"04/29/82",0089,5,0.360,0.1155
1,4,"04/29/82",0092,5,0.010,0.0100
1,4,"04/29/82",0152,5,0.000,0.0000
1,4,"04/29/82",0553,5,2.430,0.6422
1,4,"04/29/82",0556,5,1.760,0.3569
1,4,"04/29/82",0557,5,0.270,0.1221
1,4,"04/29/82",0558,5,0.130,0.0663
1,4,"04/29/82",0574,5,0.350,0.1129
1,4,"04/29/82",0575,5,0.300,0.1508
1,4,"04/29/82",0589,5,0.550,0.1369
1,5,"10/18/82",0024,5,0.010,0.0100
1,5,"10/18/82",0029,5,0.290,0.1487
1,5,"10/18/82",0030,5,3.260,1.0937
1,5,"10/18/82",0066,5,0.340,0.0696
1,5,"10/18/82",0067,5,0.000,0.0000
1,5,"10/18/82",0075,5,0.000,0.0000
1,5,"10/18/82",0081,5,0.000,0.0000
1,5,"10/18/82",0082,5,0.000,0.0000
1,5,"10/18/82",0085,5,0.030,0.0122
1,5,"10/18/82",0089,5,0.170,0.0846
1,5,"10/18/82",0092,5,0.020,0.0200
1,5,"10/18/82",0152,5,0.000,0.0000
1,5,"10/18/82",0553,5,3.890,1.4147
1,5,"10/18/82",0556,5,1.490,0.3269
1,5,"10/18/82",0557,5,0.020,0.0200
1,5,"10/18/82",0558,5,0.030,0.0200
1,5,"10/18/82",0574,5,0.100,0.0447
1,5,"10/18/82",0575,5,0.480,0.1793
1,5,"10/18/82",0589,5,0.450,0.1294
1,6,"05/01/83",0024,5,0.030,0.0200
1,6,"05/01/83",0029,5,0.350,0.2660
1,6,"05/01/83",0030,5,5.250,1.4281
1,6,"05/01/83",0066,5,0.290,0.1065
1,6,"05/01/83",0067,5,0.000,0.0000
1,6,"05/01/83",0075,5,0.000,0.0000
1,6,"05/01/83",0081,5,0.000,0.0000
1,6,"05/01/83",0082,5,0.000,0.0000
