"Station","Period","Date","SpeciesCode","Replicates","AdultDensityMean","JuvDensityMean","AdultDensitySE","JuvDensitySE"
1,3,"10/24/81",1002,4,0.0050,0.0000,0.00500,0.00000
1,3,"10/24/81",1003,4,0.0075,0.0000,0.00750,0.00000
1,3,"10/24/81",1011,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1012,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1014,4,0.0025,0.0000,0.00250,0.00000
1,3,"10/24/81",1016,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1017,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1018,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1019,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1020,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1021,4,0.0025,0.0000,0.00250,0.00000
1,3,"10/24/81",1029,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1030,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1031,4,0.0025,0.0000,0.00250,0.00000
1,3,"10/24/81",1032,4,0.0250,0.0000,0.00500,0.00000
1,3,"10/24/81",1034,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1035,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1036,4,0.0100,0.0000,0.00707,0.00000
1,3,"10/24/81",1038,4,0.0200,0.0000,0.00577,0.00000
1,3,"10/24/81",1039,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1040,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1041,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1042,4,0.0600,0.0000,0.01472,0.00000
1,3,"10/24/81",1043,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1045,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1046,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1047,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1048,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1049,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1051,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1052,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1053,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1055,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1058,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1060,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1061,4,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1062,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1002,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1003,4,0.0000,0.0075,0.00000,0.00750
1,4,"04/29/82",1011,4,0.0025,0.0000,0.00250,0.00000
1,4,"04/29/82",1012,4,0.0025,0.0000,0.00250,0.00000
1,4,"04/29/82",1014,4,0.0175,0.0000,0.00854,0.00000
1,4,"04/29/82",1016,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1017,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1018,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1019,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1020,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1021,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1029,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1030,4,0.0025,0.0000,0.00250,0.00000
1,4,"04/29/82",1031,4,0.0025,0.0000,0.00250,0.00000
1,4,"04/29/82",1032,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1034,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1035,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1036,4,0.0050,0.0000,0.00289,0.00000
1,4,"04/29/82",1038,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1039,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1040,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1041,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1042,4,0.0225,0.0000,0.00854,0.00000
1,4,"04/29/82",1043,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1045,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1046,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1047,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1048,4,0.0025,0.0000,0.00250,0.00000
1,4,"04/29/82",1049,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1051,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1052,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1053,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1055,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1058,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1060,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1061,4,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1062,4,0.0000,0.0000,0.00000,0.00000
1,5,"10/18/82",1002,5,0.0000,0.0000,0.00000,0.00000
