"Station","Period","Date","Swath","KelpID","HoldFast","StipeCount"
1,1,"08/27/80","10R","1_2_111","NA","NA"
1,1,"08/27/80","10R","1_2_113","NA","NA"
1,1,"08/27/80","10R","1_2_125","NA","NA"
1,1,"08/27/80","10R","1_2_134","NA","NA"
1,1,"08/27/80","10R","1_2_141","NA","NA"
1,1,"08/27/80","10R","1_2_150","NA","NA"
1,1,"08/27/80","22R","1_4_112","NA","NA"
1,1,"08/27/80","22R","1_4_146","NA","NA"
1,1,"08/27/80","32L","1_5_77","NA","NA"
1,1,"08/27/80","32L","1_5_96","NA","NA"
1,1,"08/27/80","39R","1_8_101","NA","NA"
1,1,"08/27/80","39R","1_8_143","NA","NA"
1,1,"08/27/80","39R","1_8_148","NA","NA"
1,1,"08/27/80","39R","1_8_154","NA","NA"
1,1,"08/27/80","45R","1_10_102","NA","NA"
1,1,"08/27/80","45R","1_10_112","NA","NA"
1,1,"08/27/80","45R","1_10_151","NA","NA"
1,2,"04/25/81","10R","1_2_6",12,"NA"
1,2,"04/25/81","22R","1_4_11",7,"NA"
1,2,"04/25/81","32L","1_5_3",3,"NA"
1,2,"04/25/81","32L","1_5_5",6,"NA"
1,2,"04/25/81","32L","1_5_8",58,"NA"
1,2,"04/25/81","39R","1_8_2",8,"NA"
1,2,"04/25/81","39R","1_8_3",2,"NA"
1,2,"04/25/81","39R","1_8_4",2,"NA"
1,2,"04/25/81","39R","1_8_9",2,"NA"
1,2,"04/25/81","45R","1_10_6",3,"NA"
1,2,"04/25/81","45R","1_10_9",12,"NA"
1,3,"10/24/81","10R","1_2_502",13,"NA"
1,3,"10/24/81","10R","1_2_505",38,"NA"
1,3,"10/24/81","10R","1_2_508",36,"NA"
1,3,"10/24/81","22R","1_4_11",33,"NA"
1,3,"10/24/81","22R","1_4_463",14,"NA"
1,3,"10/24/81","22R","1_4_489",12,"NA"
1,3,"10/24/81","22R","1_4_495",32,"NA"
1,3,"10/24/81","22R","1_4_497",18,"NA"
1,3,"10/24/81","22R","1_4_499",24,"NA"
1,3,"10/24/81","22R","1_4_500",36,"NA"
1,3,"10/24/81","22R","1_4_501",16,"NA"
1,3,"10/24/81","22R","1_4_509",58,"NA"
1,3,"10/24/81","32L","1_5_451",26,"NA"
1,3,"10/24/81","32L","1_5_456",17,"NA"
1,3,"10/24/81","32L","1_5_476",30,"NA"
1,3,"10/24/81","32L","1_5_480",9,"NA"
1,3,"10/24/81","32L","1_5_496",9,"NA"
1,3,"10/24/81","32L","1_5_507",19,"NA"
1,3,"10/24/81","32L","1_5_509",10,"NA"
1,3,"10/24/81","32L","1_5_512",11,"NA"
