"Station","Period","Date","Transect","SpeciesCode","AdultDensity","JuvDensity"
1,3,"10/24/81",1,1001,0.000,0.000
1,3,"10/24/81",2,1001,0.020,0.000
1,3,"10/24/81",3,1001,0.000,0.000
1,3,"10/24/81",4,1001,0.016,0.000
1,3,"10/24/81",5,1001,0.004,0.000
1,3,"10/24/81",1,1002,0.000,0.000
1,3,"10/24/81",2,1002,0.004,0.000
1,3,"10/24/81",3,1002,0.000,0.000
1,3,"10/24/81",4,1002,0.000,0.000
1,3,"10/24/81",5,1002,0.000,0.000
1,3,"10/24/81",1,1003,0.000,0.000
1,3,"10/24/81",2,1003,0.076,0.000
1,3,"10/24/81",3,1003,0.000,0.000
1,3,"10/24/81",4,1003,0.000,0.000
1,3,"10/24/81",5,1003,0.000,0.000
1,3,"10/24/81",1,1004,0.000,0.000
1,3,"10/24/81",2,1004,0.000,0.000
1,3,"10/24/81",3,1004,0.000,0.000
1,3,"10/24/81",4,1004,0.000,0.000
1,3,"10/24/81",5,1004,0.000,0.000
1,3,"10/24/81",1,1005,0.000,0.000
1,3,"10/24/81",2,1005,0.012,0.000
1,3,"10/24/81",3,1005,0.000,0.000
1,3,"10/24/81",4,1005,0.008,0.000
1,3,"10/24/81",5,1005,0.000,0.000
1,3,"10/24/81",1,1006,0.000,0.000
1,3,"10/24/81",2,1006,0.012,0.000
1,3,"10/24/81",3,1006,0.000,0.000
1,3,"10/24/81",4,1006,0.004,0.000
1,3,"10/24/81",5,1006,0.008,0.000
1,3,"10/24/81",1,1008,0.000,0.000
1,3,"10/24/81",2,1008,0.000,0.000
1,3,"10/24/81",3,1008,0.000,0.000
1,3,"10/24/81",4,1008,0.004,0.000
1,3,"10/24/81",5,1008,0.000,0.000
1,3,"10/24/81",1,1009,0.360,0.000
1,3,"10/24/81",2,1009,0.256,0.000
1,3,"10/24/81",3,1009,1.044,0.000
1,3,"10/24/81",4,1009,0.252,0.000
1,3,"10/24/81",5,1009,0.736,0.000
1,3,"10/24/81",1,1010,0.000,0.000
1,3,"10/24/81",2,1010,0.000,0.000
1,3,"10/24/81",3,1010,0.000,0.000
1,3,"10/24/81",4,1010,0.000,0.000
1,3,"10/24/81",5,1010,0.000,0.000
1,3,"10/24/81",1,1011,0.000,0.000
1,3,"10/24/81",2,1011,0.000,0.000
1,3,"10/24/81",3,1011,0.000,0.000
1,3,"10/24/81",4,1011,0.000,0.000
1,3,"10/24/81",5,1011,0.000,0.000
1,3,"10/24/81",1,1012,0.000,0.000
1,3,"10/24/81",2,1012,0.000,0.000
1,3,"10/24/81",3,1012,0.000,0.000
1,3,"10/24/81",4,1012,0.000,0.000
1,3,"10/24/81",5,1012,0.000,0.000
1,3,"10/24/81",1,1013,0.000,0.000
1,3,"10/24/81",2,1013,0.000,0.000
1,3,"10/24/81",3,1013,0.000,0.000
1,3,"10/24/81",4,1013,0.000,0.000
1,3,"10/24/81",5,1013,0.000,0.000
1,3,"10/24/81",1,1014,0.000,0.000
1,3,"10/24/81",2,1014,0.000,0.000
1,3,"10/24/81",3,1014,0.000,0.000
1,3,"10/24/81",4,1014,0.000,0.000
1,3,"10/24/81",5,1014,0.000,0.000
1,3,"10/24/81",1,1015,0.000,0.000
1,3,"10/24/81",2,1015,0.004,0.000
1,3,"10/24/81",3,1015,0.000,0.000
1,3,"10/24/81",4,1015,0.000,0.000
1,3,"10/24/81",5,1015,0.000,0.000
1,3,"10/24/81",1,1016,0.000,0.000
1,3,"10/24/81",2,1016,0.000,0.000
1,3,"10/24/81",3,1016,0.000,0.000
1,3,"10/24/81",4,1016,0.000,0.000
1,3,"10/24/81",5,1016,0.000,0.000
1,3,"10/24/81",1,1017,0.000,0.000
1,3,"10/24/81",2,1017,0.000,0.000
1,3,"10/24/81",3,1017,0.000,0.000
1,3,"10/24/81",4,1017,0.000,0.000
1,3,"10/24/81",5,1017,0.000,0.000
1,3,"10/24/81",1,1018,0.000,0.000
1,3,"10/24/81",2,1018,0.000,0.000
1,3,"10/24/81",3,1018,0.000,0.000
1,3,"10/24/81",4,1018,0.000,0.000
1,3,"10/24/81",5,1018,0.000,0.000
1,3,"10/24/81",1,1019,0.000,0.000
1,3,"10/24/81",2,1019,0.000,0.000
1,3,"10/24/81",3,1019,0.000,0.000
1,3,"10/24/81",4,1019,0.000,0.000
1,3,"10/24/81",5,1019,0.000,0.000
