"Station","Period","Date","SpeciesCode","Replicates","AdultDensityMean","JuvDensityMean","AdultDensitySE","JuvDensitySE"
1,3,"10/24/81",1001,5,0.0080,0.0000,0.00420,0.00000
1,3,"10/24/81",1002,5,0.0008,0.0000,0.00080,0.00000
1,3,"10/24/81",1003,5,0.0152,0.0000,0.01520,0.00000
1,3,"10/24/81",1004,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1005,5,0.0040,0.0000,0.00253,0.00000
1,3,"10/24/81",1006,5,0.0048,0.0000,0.00233,0.00000
1,3,"10/24/81",1008,5,0.0008,0.0000,0.00080,0.00000
1,3,"10/24/81",1009,5,0.5296,0.0000,0.15619,0.00000
1,3,"10/24/81",1010,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1011,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1012,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1013,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1014,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1015,5,0.0008,0.0000,0.00080,0.00000
1,3,"10/24/81",1016,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1017,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1018,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1019,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1020,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1021,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1022,5,0.0032,0.0000,0.00233,0.00000
1,3,"10/24/81",1023,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1024,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1025,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1026,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1027,5,0.0024,0.0000,0.00240,0.00000
1,3,"10/24/81",1028,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1029,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1030,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1031,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1032,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1033,5,0.0008,0.0000,0.00080,0.00000
1,3,"10/24/81",1034,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1035,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1036,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1037,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1038,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1039,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1040,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1041,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1042,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1043,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1044,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1045,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1046,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1047,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1048,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1049,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1051,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1052,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1053,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1054,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1055,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1056,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1058,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1059,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1060,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1061,5,0.0000,0.0000,0.00000,0.00000
1,3,"10/24/81",1062,5,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1001,5,0.0072,0.0000,0.00233,0.00000
1,4,"04/29/82",1002,5,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1003,5,0.0776,0.0984,0.03412,0.07748
1,4,"04/29/82",1004,5,0.0032,0.0000,0.00080,0.00000
1,4,"04/29/82",1005,5,0.0040,0.0000,0.00253,0.00000
1,4,"04/29/82",1006,5,0.0064,0.0000,0.00204,0.00000
1,4,"04/29/82",1008,5,0.0040,0.0000,0.00310,0.00000
1,4,"04/29/82",1009,5,0.7848,0.0000,0.29357,0.00000
1,4,"04/29/82",1010,5,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1011,5,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1012,5,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1013,5,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1014,5,0.0032,0.0000,0.00196,0.00000
1,4,"04/29/82",1015,5,0.0016,0.0000,0.00098,0.00000
1,4,"04/29/82",1016,5,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1017,5,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1018,5,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1019,5,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1020,5,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1021,5,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1022,5,0.0000,0.0000,0.00000,0.00000
1,4,"04/29/82",1023,5,0.0000,0.0000,0.00000,0.00000
