"","sitename","PISCO_CODE","lon_wgs84","lat_wgs84"
"1","ANACAPA_ADMIRALS_CEN","SADM03",-119.4252,34.002883
"2","ANACAPA_ADMIRALS_E","SADM02",-119.418,34.003433
"3","ANACAPA_ADMIRALS_W","SADM01",-119.434383,34.00775
"4","ANACAPA_BLACK_SEA_BASS_CEN","SBSB01",-119.389183,34.0126
"5","ANACAPA_CAT_ROCK_CEN","SCTR02",-119.4240111,34.0035972
"6","ANACAPA_EAST_FISH_CAMP_CEN","SEFC03",-119.398067,34.001583
"7","ANACAPA_EAST_FISH_CAMP_E","SEFC02",-119.385783,34.0045
"8","ANACAPA_EAST_FISH_CAMP_W","SEFC01",-119.404167,34.003083
"9","ANACAPA_EAST_ISLE_CEN","SEAI03",-119.363683,34.017667
"10","ANACAPA_EAST_ISLE_E","SEAI02",-119.361133,34.017033
"11","ANACAPA_EAST_ISLE_W","SEAI01",-119.371733,34.015867
"12","ANACAPA_LIGHTHOUSE_REEF_CEN","SLHR03",-119.363133,34.012783
"13","ANACAPA_LIGHTHOUSE_REEF_E","SLHR02",-119.36,34.0139
"14","ANACAPA_LIGHTHOUSE_REEF_W","SLHR01",-119.3725,34.010783
"15","ANACAPA_MIDDLE_ISLE_CEN","SMDI03",-119.388333,34.009883
"16","ANACAPA_MIDDLE_ISLE_E","SMDI02",-119.388167,34.0085
"17","ANACAPA_MIDDLE_ISLE_W","SMDI01",-119.394467,34.007833
"18","ANACAPA_WEST_ISLE_CEN","SWEI03",-119.432917,34.016983
"19","ANACAPA_WEST_ISLE_E","SWEI02",-119.421833,34.016083
"20","ANACAPA_WEST_ISLE_W","SWEI01",-119.438067,34.017417
"21","ANDREW_MOLERA_DC","SAMO02",-121.8730375,36.2760886
"22","ANDREW_MOLERA_OLD_DC","SAMO03",-121.8697089,36.2735923
"23","ANDREW_MOLERA_UC","SAMO01",-121.8759883,36.2776852
"24","ARGUELLO_E","SARG02",-120.5717167,34.5417333
"25","ARGUELLO_W","SARG01",-120.5691167,34.5405
"26","ARROYO_QUEMADO_E","SARQ02",-120.1169667,34.46628333
"27","ARROYO_QUEMADO_W","SARQ01",-120.1251833,34.46835
"28","ASILOMAR_DC","SASL01",-121.9466773,36.6322452
"29","ASILOMAR_UC","SASL02",-121.9455894,36.636512
"30","BIG_CREEK_DC","SBGC02",-121.6051153,36.0690791
"31","BIG_CREEK_UC","SBGC01",-121.6080395,36.0691516
"32","BIRD_ROCK_CEN","SBRD01",-121.97135,36.59343
"33","BIXBY_CEN","SBIX01",-121.9074994,36.3684681
"34","BLUEFISH_DC","SBLF02",-121.9487775,36.525143
"35","BLUEFISH_UC","SBLF01",-121.9435417,36.5222251
"36","BUCHON_CEN","SBCH01",-120.9010977,35.2440785
"37","BULLITO_CEN","SBUL01",-120.33205,34.45543333
"38","BUTTERFLY_DC","SBUT02",-121.9356697,36.5374389
"39","BUTTERFLY_UC","SBUT01",-121.9362971,36.5396554
"40","CAMBRIA_DC","SCAM02",-121.1243185,35.5678931
"41","CAMBRIA_UC","SCAM01",-121.1271452,35.5704948
"42","CANNERY_DC","SCAN02",-121.8960366,36.6149533
"43","CANNERY_UC","SCAN01",-121.8945742,36.6126385
"44","CARMEL_DC","SCRM02",-121.9381974,36.5423638
"45","CARMEL_UC","SCRM01",-121.9388646,36.5440639
"46","CAT_BLUE_CAVERN_CEN","SBLC01",-118.4763917,33.4466028
"47","CAT_INTAKE_PIPES_CEN","SINP01",-118.4832639,33.4473861
"48","CAT_PUMPERNICKEL_CEN","SPMP01",-118.4794944,33.4478306
"49","CAYUCOS_DC","SCAY02",-120.9472565,35.4343931
"50","CAYUCOS_UC","SCAY01",-120.9504729,35.4341503
"51","CHINA_ROCK_CEN","SCHN01",-121.9724191,36.5984362
"52","COJO_E","SCOJ02",-120.4167926,34.4412874
"53","COJO_W","SCOJ01",-120.4233264,34.443204
"54","COOPER_CEN","SCPR01",-121.8566084,36.2631456
"55","COUNTY_LINE_CEN","SCOL01",-118.9522167,34.04301667
"56","CROWBAR_CEN","SCRW01",-120.8814268,35.2261632
"57","CYPRESS_PT_DC","SCYP02",-121.9824678,36.5796455
"58","CYPRESS_PT_UC","SCYP01",-121.9803309,36.5857737
"59","DOLAN_DC","SDLN02",-121.6283739,36.1001754
"60","DOLAN_UC","SDLN01",-121.6335611,36.1092023
"61","DUCK_POND_DC","SDKP02",-121.4248167,35.8572567
"62","DUCK_POND_UC","SDKP01",-121.4264195,35.8582386
"63","DUNES_CEN","SDNS01",-120.65022,34.7731
"64","EL_MATADOR_CEN","SELM01",-118.8701667,34.03328333
"65","ESALEN_DC","SESA02",-121.6479869,36.1244095
"66","ESALEN_UC","SESA01",-121.6530459,36.1281131
"67","ESTERO_CEN","SEST01",-121.0296315,35.472387
"68","FALSE_SUR_CEN","SFSR01",-121.8868219,36.2775558
"69","FULLERS_CEN","SFLR01",-121.7521649,36.2081061
"70","GREEN_PEAK_CEN","SGRP01",-120.8306873,35.1901038
